Product Name,Brand,Segment,Positioning,Animal Product Replicated,Consumption Format,Storage Condition,Availability,In Stock,Status,Price (INR),Weight,Weight Unit,Pack Size,Distribution Channels,Channel,Product Page,Website,Source Name,Source Links,Ingredients List,Ingredient Count,Last Updated,Notes
BBQ Tikka,Good Dot,PBM,Plant-based,Chicken,RTC,Ambient,Active,True,Launched,279.00,410,g,410g,Brand website,D2C,https://gooddot.in/products/bbq-tikka,https://gooddot.in,Good Dot Official Website,https://gooddot.in/products/bbq-tikka,,0,2025-08-19,
EGGLESS BHURJI,Good Dot,PBE,Plant-based,Egg,RTC,Ambient,Active,True,Launched,149.00,0,g,,Brand website,D2C,https://gooddot.in/products/eggless-bhurji,https://gooddot.in,Good Dot Official Website,https://gooddot.in/products/eggless-bhurji,,0,2025-08-19,
Gooddot Soya Chaap,Good Dot,PBM,Plant-based,Meat,RTC,Ambient,Active,True,Launched,199.00,0,g,,Brand website,D2C,https://gooddot.in/products/gooddot-soya-chaap,https://gooddot.in,Good Dot Official Website,https://gooddot.in/products/gooddot-soya-chaap,,0,2025-08-19,
GoodDot Vegetarian Bytz - (Pack Of 2),Good Dot,PBM,Plant-based,Meat,RTC,Ambient,Active,True,Launched,370.00,500,g,500g,Brand website,D2C,https://gooddot.in/products/gooddot-vegetarian-bytz-pack-of-2,https://gooddot.in,Good Dot Official Website,https://gooddot.in/products/gooddot-vegetarian-bytz-pack-of-2,,0,2025-08-19,
PROTEIZ,Good Dot,PBM,Plant-based,Meat,RTC,Ambient,Active,True,Launched,95.00,175,g,175g,Brand website,D2C,https://gooddot.in/products/proteiz,https://gooddot.in,Good Dot Official Website,https://gooddot.in/products/proteiz,,0,2025-08-19,
UnMutton Dhaba Curry & Vegan Biryani,Good Dot,PBM,Plant-based,Mutton,RTC,Ambient,Active,True,Launched,390.00,0,g,,Brand website,D2C,https://gooddot.in/products/unmutton-dhaba-curry-vegan-biryani,https://gooddot.in,Good Dot Official Website,https://gooddot.in/products/unmutton-dhaba-curry-vegan-biryani,"fragrant rice, textured vegetable protein, superfood Quinoa, fried onion, and traditional Indian spices known for their aroma and flavours.",5,2025-08-19,
UNMUTTON DHABA CURRY KIT (Pack of 2),Good Dot,PBM,Plant-based,Mutton,RTC,Ambient,Active,True,Launched,720.00,0,g,,Brand website,D2C,https://gooddot.in/products/unmutton-dhaba-curry-kit-pack-2,https://gooddot.in,Good Dot Official Website,https://gooddot.in/products/unmutton-dhaba-curry-kit-pack-2,,0,2025-08-19,
UnMutton Keema & Eggless Bhurji,Good Dot,PBE,Plant-based,Egg,RTC,Ambient,Active,True,Launched,334.00,320,g,320g,Brand website,D2C,https://gooddot.in/products/unmutton-keema-eggless-bhurji-1,https://gooddot.in,Good Dot Official Website,https://gooddot.in/products/unmutton-keema-eggless-bhurji-1,are included in this wonderful kit. The Eggless Bhurji Kit is an easy-to-cook kit that creates a fabulous plant-based,1,2025-08-19,
UNMUTTON KEEMA + EGGLESS BHURJI,Good Dot,PBE,Plant-based,Egg,RTC,Ambient,Active,True,Launched,725.00,0,g,,Brand website,D2C,https://gooddot.in/products/unmutton-keema-eggless-bhurji,https://gooddot.in,Good Dot Official Website,https://gooddot.in/products/unmutton-keema-eggless-bhurji,,0,2025-08-19,
VEGICKEN CHUNKS IN BRINE,Good Dot,PBM,Plant-based,Chicken,RTC,Ambient,Active,True,Launched,299.00,400,g,400g,Brand website,D2C,https://gooddot.in/products/vegicken-chunks-in-brine,https://gooddot.in,Good Dot Official Website,https://gooddot.in/products/vegicken-chunks-in-brine,,0,2025-08-19,
PARTY PACK (600G),Blue Tribe,PBM,Plant-based,Meat,RTC,Frozen,Active,True,Launched,420.00,400,g,400g,Brand website,D2C,https://www.bluetribefoods.com/products/party-pack-600g,https://www.bluetribefoods.com,Blue Tribe Official Website,https://www.bluetribefoods.com/products/party-pack-600g,"out maida, palm oil, cholesterol or preservatives. No prep, no stress, just heat and serve. Perfect for parties, house gatherings or when you want maximum flavour with minimum effort. Details",6,2025-08-19,
Plant-Based Kebab (250g),Blue Tribe,PBM,Plant-based,Mutton,RTC,Frozen,Active,True,Launched,215.00,250,g,250g,Brand website,D2C,https://www.bluetribefoods.com/products/plant-based-chicken-seekh-kebab,https://www.bluetribefoods.com,Blue Tribe Official Website,https://www.bluetribefoods.com/products/plant-based-chicken-seekh-kebab,"for rich, satisfying flavour in every bite. Packed with protein and full of character, they",3,2025-08-19,
Plant-Based Momo (280g),Blue Tribe,PBM,Plant-based,Chicken,RTC,Frozen,Active,True,Launched,160.00,280,g,280g,Brand website,D2C,https://www.bluetribefoods.com/products/plant-based-chicken-darjeeling-momos,https://www.bluetribefoods.com,Blue Tribe Official Website,https://www.bluetribefoods.com/products/plant-based-chicken-darjeeling-momos,"wheat and soy, they offer a tender, savoury filling with zero cholesterol",3,2025-08-19,
Plant-Based Nuggets (250g),Blue Tribe,PBM,Plant-based,Meat,RTC,Frozen,Active,True,Launched,175.00,250,g,250g,Brand website,D2C,https://www.bluetribefoods.com/products/nuggets,https://www.bluetribefoods.com,Blue Tribe Official Website,https://www.bluetribefoods.com/products/nuggets,"they deliver rich flavour and satisfying texture in every bite. Ideal for dipping, plating, or pairing with your favourite sides. A deliciously mindful twist on a classic comfort food. 100",3,2025-08-19,
Plant-Based Sausage (250g),Blue Tribe,PBM,Plant-based,Pork,RTC,Frozen,Active,True,Launched,249.00,250,g,250g,Brand website,D2C,https://www.bluetribefoods.com/products/plant-based-smoked-chicken-sausage-250g,https://www.bluetribefoods.com,Blue Tribe Official Website,https://www.bluetribefoods.com/products/plant-based-smoked-chicken-sausage-250g,"Water, Refined Sunflower Oil, Iso Pea Protein, Potato Starch, lodized Salt, Green Chilli, Garlic, Red Chilli Flakes, Jack Fruits, Garlic Powder, Dry Mixed Herbs (Thyme, Parsley, Rosemarry), Cumin Powder, Mustard Powder, Wheat Fiber, Carrageenan (INS 407), Guar gum (INS 412), Methyl Cellulose (INS 461), Flavouring Agent (Natural Identical) Additional Information 100",20,2025-08-19,
Ready to Eat - Achari Soya Chaap (250g),Blue Tribe,PBM,Plant-based,Meat,RTC,Frozen,Active,True,Launched,150.00,125,g,125g,Brand website,D2C,https://www.bluetribefoods.com/products/achari-soya-chaap-250g,https://www.bluetribefoods.com,Blue Tribe Official Website,https://www.bluetribefoods.com/products/achari-soya-chaap-250g,Soya chaap,1,2025-08-19,
Ready to Eat - Afghani Soya Chaap (250g),Blue Tribe,PBM,Plant-based,Meat,RTC,Frozen,Active,True,Launched,165.00,250,g,250g,Brand website,D2C,https://www.bluetribefoods.com/products/afghani-soya-chaap-250g,https://www.bluetribefoods.com,Blue Tribe Official Website,https://www.bluetribefoods.com/products/afghani-soya-chaap-250g,Soya chaap,1,2025-08-19,
Ready to Eat - Tandoori Soya Chaap (250g),Blue Tribe,PBM,Plant-based,Meat,RTC,Frozen,Active,True,Launched,150.00,250,g,250g,Brand website,D2C,https://www.bluetribefoods.com/products/ready-to-eat-tandoori-soya-chaap-250g,https://www.bluetribefoods.com,Blue Tribe Official Website,https://www.bluetribefoods.com/products/ready-to-eat-tandoori-soya-chaap-250g,Soya chaap,1,2025-08-19,
Ready to Eat - Tandoori Soya Chaap (400g),Blue Tribe,PBM,Plant-based,Meat,RTC,Frozen,Active,True,Launched,240.00,400,g,400g,Brand website,D2C,https://www.bluetribefoods.com/products/tandoori-soya-chaap-400g,https://www.bluetribefoods.com,Blue Tribe Official Website,https://www.bluetribefoods.com/products/tandoori-soya-chaap-400g,"out maida, palm oil, cholesterol or preservatives. Just heat and serve for a no-fuss tandoori experience at home. Details",3,2025-08-19,
